Tempo,Entrada,Erro,Saida
440,200,0,0
8272,25421,200,0
16208,25657,2,22
24160,25351,-22489,66
32344,-878,-28587,147
40488,-1790,-7548,184
48640,-26827,-21542,135
56888,25396,-15921,154
65128,-18687,-6408,137
73328,-2505,2259,78
81408,20317,-11894,69
89592,14903,-21520,50
97776,-17971,28582,62
105960,-9070,-29149,82
114160,-30182,-21131,164
122464,-2706,-15006,252
130720,-13427,-17593,299
139032,-28935,-8427,320
147288,-18722,1571,285
155528,6874,5187,356
163696,4492,7742,386
171872,883,10832,502
180040,30415,-32756,547
188328,-2865,-16796,488
196576,7443,10140,541
204808,28869,-16093,600
213088,1808,21252,543
221312,14175,-10298,451
229608,12328,11419,607
237888,-9258,13265,555
246128,6319,-10628,455
254368,-6460,27069,458
262608,-27629,-4581,524
270864,19601,2154,598
279088,-8476,-8922,571
287288,4420,-27666,447
295528,-5139,8529,633
303720,-29029,-1533,521
311968,6791,22725,633
320192,-514,24731,566
328376,9754,26932,675
336608,18013,1071,575
344832,-25941,-30148,675
353136,-8377,14593,724
361376,-19860,5885,547
369616,-10587,-15245,648
377920,13272,-30043,516
386216,31214,-21817,647
394504,31194,31328,547
402784,10944,-26064,683
411072,-15933,8390,482
419312,-14907,-3861,608
427568,-27593,32,656
435704,-20673,8055,732
443936,-28646,-29930,730
452240,3036,-16480,727
460480,-9639,-4747,549
468688,-23929,-5241,648
476944,4149,13004,536
485168,6833,29347,662
493392,18622,27545,525
501672,27954,-12869,639
509960,10213,28924,541
518232,-14943,11720,659
526520,16925,12139,529
534800,19520,-32601,667
543096,-9026,28898,467
551336,-18808,21512,640
559632,-19955,22181,533
567928,10694,23816,627
576208,32628,175,537
584376,1438,-17694,397
592616,-26318,22115,622
600912,31533,3413,551
609136,5194,-27603,619
617376,-20836,31029,534
625672,19520,4216,416
633888,-26540,22905,382
642184,-7322,-22431,418
650440,10763,17344,549
658720,-23649,16005,543
667016,-22895,17349,528
675304,32705,32427,520
683584,-28958,12234,528
691872,20421,-15674,555
700168,23161,-13544,566
708456,5391,-27680,567
716696,8252,-24359,637
724936,-28695,10195,464
733232,-15873,-26812,596
741536,-25274,14220,573
749832,9612,3396,498
758000,-1668,-27640,623
766248,-25489,-12290,583
774560,-21668,-23990,655
782864,-10709,-30258,538
791168,-16588,-8057,579
799424,-15549,-10117,574
807728,32619,25319,520
816008,6369,-24220,481
824248,-5812,-16584,480
832504,7086,31065,496
840728,-26905,15158,490
849024,592,-31642,432
857216,-30615,18489,610
865512,8421,-9129,603
873696,8177,24655,522
881920,12812,27032,611
890192,-17302,-8072,575
898440,7801,32361,1023
906720,-25034,472,605
914904,1845,-20050,566
923144,-25706,-20392,593
931448,5749,23001,533
939680,14537,18902,481
947960,5745,-18328,427
956200,-7684,-16815,443
964456,14276,-30013,609
972752,-29697,-26451,517
981064,-12472,-32453,667
989376,25711,29539,513
997656,20711,-22137,644
1005952,-6145,23620,706
1014248,15980,27060,563
1022576,-8370,6416,605
1030816,-16363,17693,657
1039160,-22171,10503,712
1047504,19276,-10344,678
1055840,15681,32631,514
1064168,22142,-32434,630
1072512,-23282,-15216,513
1080872,30643,-4662,533
1089160,-32256,19873,561
1097504,-1494,7456,567
1105744,-27251,-14368,519
1114104,-10796,6539,446
1122392,1147,-4463,411
1130632,-19103,6372,399
1138928,332,-29567,406
1147168,-27273,-18628,589
1155528,31378,-731,560
1163768,-9122,32626,480
1172064,14009,21654,442
1180400,-21391,23059,493
1188744,28915,-20753,541
1197088,31095,-13571,578
1205432,12944,29647,546
1213760,-6125,-1832,450
1222016,719,10086,634
1230240,-30180,-13410,521
1238600,-16927,-9419,603
