Tempo,Entrada,Erro,Saida,SaidaFiltrada
2147960,78,1,252,189
2156112,0,-52,353,248
2164272,0,-153,372,355
2172480,0,-172,459,374
2180696,0,-259,431,462
2188904,0,-231,306,434
2197112,0,-106,209,308
2205320,0,-9,191,210
2213408,0,9,133,192
2221488,83,67,129,139
2229680,146,71,119,134
2237936,161,81,175,120
2246192,109,25,182,172
2254448,45,18,287,178
2262648,0,-87,348,285
2270808,0,-148,306,350
2279016,0,-106,282,308
2287224,0,-82,152,283
2295384,0,48,121,153
2303512,136,79,76,131
2311704,217,124,50,82
2319912,255,150,79,53
2328120,255,121,159,79
2336368,168,41,207,154
2344616,33,-7,213,199
2352784,0,-13,372,212
2360944,0,-172,354,374
2369152,0,-154,443,356
2377360,0,-243,418,446
2385568,0,-218,299,420
2393776,0,-99,195,301
2401928,0,5,163,196
2410008,46,37,135,167
2418200,109,65,120,140
2426456,154,80,148,124
2434712,138,52,152,147
2442960,105,48,227,150
2451208,18,-27,259,222
2459432,0,-59,321,259
2467592,0,-121,350,323
2475800,0,-150,272,352
2484008,0,-72,200,273
2492152,0,0,119,201
2500232,89,81,58,126
2508368,239,142,31,68
2516576,255,169,43,32
2524776,255,157,129,43
2533024,237,71,177,128
2541272,97,23,220,168
2549472,1,-20,326,214
2557640,0,-126,410,328
2565864,0,-210,468,412
2574080,0,-268,321,471
2582288,0,-121,358,323
2590504,0,-158,290,360
2598712,0,-90,163,292
2606864,0,37,135,164
2615000,109,65,146,143
2623248,125,54,107,148
2631496,157,93,175,110
2639744,121,25,233,173
2648000,0,-33,291,226
2656160,0,-91,293,293
2664312,0,-93,323,295
2672464,0,-123,302,325
2680672,0,-102,212,304
2688880,0,-12,86,213
2696968,114,114,48,94
2705168,255,152,16,58
2713368,255,184,49,16
2721576,255,151,98,49
2729776,255,102,195,98
2738024,108,5,278,186
2746224,0,-78,341,272
2754384,0,-141,369,343
2762600,0,-169,431,371
2770808,0,-231,469,434
2779024,0,-269,309,472
2787240,0,-109,313,311
2795448,0,-113,223,315
2803656,0,-23,177,224
2811792,2,23,131,178
2819936,99,69,120,138
2828136,158,80,173,125
2836392,110,27,150,170
2844648,82,50,213,149
2852848,36,-13,202,211
2861072,0,-2,293,200
2869176,0,-93,302,295
2877328,0,-102,249,304
2885536,0,-49,176,250
2893688,0,24,92,177
2901768,143,108,36,102
2910016,255,164,23,44
2918216,255,177,65,23
2926424,255,135,132,65
2934672,212,68,217,130
2942920,50,-17,289,207
2951136,0,-89,361,287
2959304,0,-161,318,363
2967520,0,-118,372,320
2975736,0,-172,420,374
2983944,0,-220,355,422
2992152,0,-155,285,357

